DATE,RGDPCHKRA625NUPN
1953-01-01,1480.355887
1954-01-01,1498.840227
1955-01-01,1602.814561
1956-01-01,1631.328252
1957-01-01,1721.305632
1958-01-01,1720.494167
1959-01-01,1689.018019
1960-01-01,1655.785932
1961-01-01,1689.606794
1962-01-01,1672.820404
1963-01-01,1795.938837
1964-01-01,1868.349837
1965-01-01,1911.683361
1966-01-01,2114.693606
1967-01-01,2185.169952
1968-01-01,2390.061145
1969-01-01,2660.551906
1970-01-01,2808.148605
1971-01-01,3018.65263
1972-01-01,3083.920915
1973-01-01,3387.50673
1974-01-01,3677.834516
1975-01-01,3787.786208
1976-01-01,4143.219079
1977-01-01,4546.718051
1978-01-01,5032.172143
1979-01-01,5480.67994
1980-01-01,5179.439627
1981-01-01,5387.652996
1982-01-01,5704.128195
1983-01-01,6274.477426
1984-01-01,6758.313279
1985-01-01,7190.612865
1986-01-01,7885.895259
1987-01-01,8687.598886
1988-01-01,9656.662046
1989-01-01,10570.40125
1990-01-01,11643.21525
1991-01-01,12713.45053
1992-01-01,13076.94418
1993-01-01,13721.6311
1994-01-01,14825.87343
1995-01-01,15889.18105
1996-01-01,16904.11029
1997-01-01,17394.74752
1998-01-01,15481.20996
1999-01-01,17336.31834
2000-01-01,18728.63382
2001-01-01,19270.27964
2002-01-01,20557.89302
2003-01-01,21008.97484
2004-01-01,21806.53576
2005-01-01,22577.33468
2006-01-01,23653.96143
2007-01-01,24787.63269
2008-01-01,25278.65648
2009-01-01,24870.79772
2010-01-01,26609.14523
